[251857.268900] usb 1-1: USB disconnect, device number 8
[251987.656702] iterate_tasks: module license 'unspecified' taints kernel.
[251987.656703] Disabling lock debugging due to kernel taint
[251987.656991] Loading Kernel Module
[252069.548417] task command: rcu_par_gp, state: 1026, process id: 4
[252069.548417] task command: kworker/0:0H, state: 1026, process id: 6
[252069.548418] task command: mm_percpu_wq, state: 1026, process id: 8
[252069.548418] task command: ksoftirqd/0, state: 1, process id: 9
[252069.548419] task command: rcu_sched, state: 1026, process id: 10
[252069.548419] task command: migration/0, state: 1, process id: 11
[252069.548420] task command: idle_inject/0, state: 1, process id: 12
[252069.548421] task command: cpuhp/0, state: 1, process id: 14
[252069.548421] task command: cpuhp/1, state: 1, process id: 15
[252069.548422] task command: idle_inject/1, state: 1, process id: 16
[252069.548422] task command: migration/1, state: 1, process id: 17
[252069.548423] task command: ksoftirqd/1, state: 1, process id: 18
[252069.548423] task command: kworker/1:0H, state: 1026, process id: 20
[252069.548424] task command: cpuhp/2, state: 1, process id: 21
[252069.548424] task command: idle_inject/2, state: 1, process id: 22
[252069.548425] task command: migration/2, state: 1, process id: 23
[252069.548425] task command: ksoftirqd/2, state: 1, process id: 24
[252069.548426] task command: kworker/2:0H, state: 1026, process id: 26
[252069.548427] task command: cpuhp/3, state: 1, process id: 27
[252069.548427] task command: idle_inject/3, state: 1, process id: 28
[252069.548428] task command: migration/3, state: 1, process id: 29
[252069.548428] task command: ksoftirqd/3, state: 1, process id: 30
[252069.548429] task command: kworker/3:0H, state: 1026, process id: 32
[252069.548429] task command: cpuhp/4, state: 1, process id: 33
[252069.548430] task command: idle_inject/4, state: 1, process id: 34
[252069.548430] task command: migration/4, state: 1, process id: 35
[252069.548431] task command: ksoftirqd/4, state: 1, process id: 36
[252069.548432] task command: kworker/4:0H, state: 1026, process id: 38
[252069.548432] task command: cpuhp/5, state: 1, process id: 39
[252069.548433] task command: idle_inject/5, state: 1, process id: 40
[252069.548433] task command: migration/5, state: 1, process id: 41
[252069.548434] task command: ksoftirqd/5, state: 1, process id: 42
[252069.548435] task command: kworker/5:0H, state: 1026, process id: 44
[252069.548435] task command: cpuhp/6, state: 1, process id: 45
